idx_local,ok,fallback,n_vecinos,traceS,lam,rank_Sreg,cond_Sreg,d_maha_min,d_maha_med,d_maha_max,d_maha_mean,clase_objetivo,idx_local_run
0,True,False,5,0.07572099223004879,8.41344358111653e-06,9,8480.256346251665,6.585805202203806,8.195316137907774,8.36971016160327,7.7754245978088905,2,0
1,True,False,5,0.3422599312044178,3.802888124493531e-05,9,8787.129508934662,9.804507178616895,10.501027928193924,10.80517430678538,10.392568911084561,2,1
2,True,False,5,0.05647109978886425,6.27456664320714e-06,9,8947.664569406432,22.46959432257205,22.789302300339994,22.97563447919202,22.76476452114451,2,2
3,True,False,5,0.06455569007432052,7.172854452702281e-06,9,8767.393656007644,11.557838220549232,12.104838363493988,12.895174760667427,12.224700523344612,2,3
4,True,False,5,0.11599556408566576,1.2888396009518417e-05,9,8831.891111334586,6.471131257230938,6.5814738526869965,7.565254763448278,6.858637551640486,2,4
5,True,False,5,0.022981625491781874,2.5535139435313193e-06,9,8493.432077509138,289.15304227111363,289.50796440146314,289.71420782967925,289.46384873935915,2,5
6,True,False,5,0.108821207297055,1.2091245255228332e-05,9,8858.563600555024,4.247081029484811,5.520554336863679,6.5403405190114965,5.610672263046906,2,6
7,True,False,5,0.33277843608376034,3.697538178708448e-05,9,8661.723349147349,7.571476238865974,8.30536796513908,8.763036590718269,8.258427434389185,2,7
8,True,False,5,0.01685976607206927,1.87330734134103e-06,9,8638.269199225844,26.846397107463357,27.177628755323866,27.4601566302708,27.158138977126413,2,8
9,True,False,5,0.02324330403856275,2.5825893376180836e-06,9,8454.460037117382,2.9550303298888054,4.51224227781982,4.815495835164479,4.209476509928008,2,9
10,True,False,5,0.04798182585456508,5.331313983840565e-06,9,8771.467607891082,0.695676164356564,2.8278064379722663,3.2149437366174185,2.435586075103298,2,10
11,True,False,5,0.2503857744783542,2.7820641608706023e-05,9,7950.511338193588,3.0737024576654792,3.6967160418135134,4.34429636591778,3.65460013371131,2,11
12,True,False,5,0.07327392333873478,8.141547037637198e-06,9,8498.815126681884,1.237071362382948,2.423547123955562,3.0083503257473816,2.3309441252472647,2,12
13,True,False,5,0.09039788244939119,1.0044209161043465e-05,9,8848.979677664844,1.1276079953741984,2.383225382766069,3.155622569965997,2.309933112246451,2,13
14,True,False,5,0.06278571592055396,6.976190657839329e-06,9,8817.158092636357,2.9122708811190043,4.194953032420387,4.999444713747809,3.957969371332028,2,14
15,True,False,5,0.014014906731734715,1.557211859081635e-06,9,8091.830560255381,2.549731532687666,3.7573298799628003,4.500848943672914,3.4660210896630224,2,15
16,True,False,5,0.3352428779756091,3.7249208663956565e-05,9,7543.581955506441,2.135832484863176,3.2358015961926463,3.7675792251459947,3.084416446370102,2,16
17,True,False,5,0.05942162336022965,6.602402595581073e-06,9,8802.111602802706,6.98425480491722,7.052135768677899,7.308979181546216,7.111910385086318,2,17
18,True,False,5,0.16226885057829787,1.8029872286477542e-05,9,8414.403691466036,3.3387768060185157,4.626736304225163,5.207451337268941,4.424332951266344,2,18
