0,1,2,3,target
-1.7488562,-0.35636035,-1.3412724,-1.3129767,0
1.1591729,-0.5877636,0.59216166,0.2646989,1
-1.1430168,0.10644514,-1.2844068,-1.4444497,0
-0.4160097,-1.2819725,0.13723591,0.1332259,1
0.5533335,-1.2819725,0.705893,0.92206377,2
-0.29484195,-0.81916636,0.2509672,0.1332259,1
0.5533335,-0.5877636,0.7627586,0.3961719,2
2.2496831,-0.124957606,1.3314155,1.4479556,2
0.18982966,-0.35636035,0.42156443,0.3961719,1
-0.05250584,-0.81916636,0.19410156,-0.26119298,1
-0.05250584,-1.0505697,0.13723591,0.0017530469,1
-1.385353,0.33784842,-1.227541,-1.3129767,0
-0.90068126,1.7262659,-1.2844068,-1.1815037,0
1.0380046,-1.2819725,1.1608186,0.79059076,2
0.6745013,0.10644514,0.9902215,0.79059076,2
-0.53717744,0.80065453,-1.2844068,-1.0500308,0
-0.90068126,1.7262659,-1.227541,-1.3129767,0
-1.021849,-0.124957606,-1.227541,-1.3129767,0
-0.4160097,-1.5133752,-0.03336118,-0.26119298,1
0.5533335,-0.35636035,1.0470871,0.79059076,2
0.6745013,-0.81916636,0.8764902,0.92206377,2
-1.021849,0.80065453,-1.227541,-1.0500308,0
-0.29484195,-0.5877636,0.6490273,1.0535368,2
-1.021849,1.0320573,-1.3981382,-1.1815037,0
-0.90068126,1.4948633,-1.2844068,-1.0500308,0
0.31099743,-0.5877636,0.13723591,0.1332259,1
0.31099743,-0.124957606,0.4784301,0.2646989,1
1.2803406,0.10644514,0.9333558,1.1850096,2
0.43216518,0.80065453,0.9333558,1.4479556,2
1.0380046,0.5692512,1.1039528,1.7109016,2
-1.5065207,0.80065453,-1.3412724,-1.1815037,0
1.8861799,-0.5877636,1.3314155,0.92206377,2
-1.1430168,-0.124957606,-1.3412724,-1.3129767,0
-0.90068126,1.0320573,-1.3412724,-1.1815037,0
-0.05250584,-0.81916636,0.7627586,0.92206377,2
-1.021849,0.33784842,-1.4550039,-1.3129767,0
-1.2641846,-0.124957606,-1.3412724,-1.4444497,0
-1.2641846,-0.124957606,-1.3412724,-1.1815037,0
-0.29484195,-0.35636035,-0.09022696,0.1332259,1
-0.17367418,-0.5877636,0.42156443,0.1332259,1
-0.90068126,1.0320573,-1.3412724,-1.3129767,0
0.06866192,-0.124957606,0.7627586,0.79059076,2
-0.17367418,-0.5877636,0.19410156,0.1332259,1
0.5533335,0.80065453,1.0470871,1.5794287,2
-1.5065207,0.33784842,-1.3412724,-1.3129767,0
-0.05250584,-0.81916636,0.7627586,0.92206377,2
-0.4160097,1.0320573,-1.3981382,-1.3129767,0
-0.4160097,-1.7447785,0.13723591,0.1332259,1
-0.17367418,-1.2819725,0.705893,1.0535368,2
-0.4160097,-1.0505697,0.3646988,0.0017530469,1
-0.29484195,-0.124957606,0.42156443,0.3961719,1
0.7956691,-0.5877636,0.4784301,0.3961719,1
0.6745013,0.33784842,0.8764902,1.4479556,2
-0.90068126,0.80065453,-1.2844068,-1.3129767,0
-1.021849,1.2634599,-1.3412724,-1.3129767,0
-0.05250584,-0.81916636,0.08037026,0.0017530469,1
-0.4160097,-1.5133752,0.02350447,-0.12971996,1
1.0380046,-0.124957606,0.81962425,1.4479556,2
0.5533335,-0.81916636,0.6490273,0.79059076,2
-1.1430168,0.10644514,-1.2844068,-1.4444497,0
1.2803406,0.33784842,1.1039528,1.4479556,2
1.0380046,0.10644514,0.5352957,0.3961719,1
-1.2641846,0.10644514,-1.227541,-1.3129767,0
0.43216518,-0.35636035,0.30783314,0.1332259,1
0.7956691,0.33784842,0.7627586,1.0535368,2
1.0380046,0.5692512,1.1039528,1.1850096,2
1.1591729,-0.124957606,0.9902215,1.1850096,2
0.5533335,-1.7447785,0.3646988,0.1332259,1
0.43216518,-0.5877636,0.59216166,0.79059076,2
1.1591729,0.33784842,1.2176843,1.4479556,2
-0.17367418,-0.35636035,0.2509672,0.1332259,1
1.6438439,0.33784842,1.27455,0.79059076,2
1.5226761,-0.124957606,1.2176843,1.1850096,2
-0.65834516,1.4948633,-1.2844068,-1.3129767,0
0.6745013,-0.35636035,0.30783314,0.1332259,1
0.31099743,-0.5877636,0.5352957,0.0017530469,1
-0.17367418,-0.124957606,0.2509672,0.0017530469,1
-0.29484195,-0.124957606,0.19410156,0.1332259,1
1.0380046,0.10644514,0.3646988,0.2646989,1
-0.77951354,1.0320573,-1.2844068,-1.3129767,0
0.6745013,-0.5877636,1.0470871,1.1850096,2
0.06866192,-0.124957606,0.2509672,0.3961719,1
-1.2641846,0.80065453,-1.227541,-1.3129767,0
-1.1430168,0.10644514,-1.2844068,-1.4444497,0
-1.385353,0.33784842,-1.3981382,-1.3129767,0
-1.5065207,0.10644514,-1.2844068,-1.3129767,0
