dataset,idx_global,is_filtrada,k,percentil_dist,percentil_densidad,percentil_entropia,criterio_pureza,modo_espacial,radio_densidad,riesgo,densidad,entropia,proporcion_min,pasa_pureza,pasa_densidad,umbral_entropia,umbral_densidad,vecinos_all,dist_all,vecinos_min,dist_min,vecinos_validos_por_percentil,thr_dist_percentil,synthetics_from_this_seed,last_delta,last_neighbor_z,timestamp,clase_objetivo
heart,0,False,5,25.0,50.0,,proporcion,2d,1.0,1.0,0.0,,0.0,False,True,,0.0,"[16, 51, 100, 15, 160]",,"[125, 69, 40, 18, 150]",,2,1.8125790188414306,0,,,2025-09-29T00:37:43.535326,1
heart,11,True,5,25.0,50.0,,proporcion,2d,1.0,0.6,0.0,,0.4,True,True,,0.0,"[78, 212, 166, 32, 232]",,"[78, 212, 46, 223, 29]",,2,3.0107056164866157,4,0.34558703250838835,78.0,2025-09-29T00:37:43.535326,1
heart,18,False,5,25.0,50.0,,proporcion,2d,1.0,0.8,0.2,,0.2,False,True,,0.0,"[40, 79, 15, 160, 62]",,"[40, 233, 125, 0, 35]",,2,1.7838941888189588,0,,,2025-09-29T00:37:43.535326,1
heart,22,False,5,25.0,50.0,,proporcion,2d,1.0,0.8,0.0,,0.2,False,True,,0.0,"[125, 17, 94, 156, 201]",,"[125, 217, 29, 116, 153]",,2,3.476415586675445,0,,,2025-09-29T00:37:43.535326,1
heart,23,True,5,25.0,50.0,,proporcion,2d,1.0,0.4,0.2,,0.6,True,True,,0.0,"[212, 137, 99, 46, 220]",,"[212, 46, 220, 235, 169]",,2,2.130179804225196,2,0.6609227538346741,137.0,2025-09-29T00:37:43.535326,1
heart,29,False,5,25.0,50.0,,proporcion,2d,1.0,0.8,0.0,,0.2,False,True,,0.0,"[218, 204, 63, 153, 236]",,"[153, 212, 46, 78, 11]",,2,2.5415006992217277,0,,,2025-09-29T00:37:43.535326,1
heart,33,False,5,25.0,50.0,,proporcion,2d,1.0,1.0,0.0,,0.0,False,True,,0.0,"[109, 225, 228, 173, 66]",,"[78, 92, 220, 23, 41]",,2,2.711565927877977,0,,,2025-09-29T00:37:43.535326,1
heart,35,False,5,25.0,50.0,,proporcion,2d,1.0,0.8,0.0,,0.2,False,True,,0.0,"[61, 36, 84, 113, 106]",,"[113, 215, 235, 227, 220]",,2,3.119695310868472,0,,,2025-09-29T00:37:43.535326,1
heart,40,False,5,25.0,50.0,,proporcion,2d,1.0,0.8,0.2,,0.2,False,True,,0.0,"[18, 15, 177, 160, 79]",,"[18, 233, 0, 35, 69]",,2,1.865817345583541,0,,,2025-09-29T00:37:43.535326,1
heart,41,True,5,25.0,50.0,,proporcion,2d,1.0,0.4,0.4,,0.6,True,True,,0.0,"[215, 155, 55, 105, 227]",,"[215, 155, 227, 131, 220]",,2,1.5881973191712637,5,0.7791527191347039,215.0,2025-09-29T00:37:43.535326,1
heart,42,False,5,25.0,50.0,,proporcion,2d,1.0,1.0,0.0,,0.0,False,True,,0.0,"[194, 120, 219, 3, 149]",,"[69, 125, 0, 203, 150]",,2,2.9930037984189695,0,,,2025-09-29T00:37:43.535326,1
heart,46,True,5,25.0,50.0,,proporcion,2d,1.0,0.6,0.0,,0.4,True,True,,0.0,"[212, 23, 99, 213, 96]",,"[212, 23, 235, 11, 29]",,2,2.2060211323089014,4,0.32786629088117514,23.0,2025-09-29T00:37:43.535326,1
heart,58,False,5,25.0,50.0,,proporcion,2d,1.0,0.8,0.2,,0.2,False,True,,0.0,"[113, 39, 61, 154, 84]",,"[113, 35, 18, 89, 233]",,2,2.3282056954568193,0,,,2025-09-29T00:37:43.535326,1
heart,59,True,5,25.0,50.0,,proporcion,2d,1.0,0.6,0.0,,0.4,True,True,,0.0,"[199, 203, 179, 219, 215]",,"[203, 215, 131, 227, 41]",,2,3.5412859494169457,3,0.4182595575415454,199.0,2025-09-29T00:37:43.535326,1
heart,69,False,5,25.0,50.0,,proporcion,2d,1.0,0.8,0.0,,0.2,False,True,,0.0,"[143, 100, 135, 200, 161]",,"[161, 0, 125, 42, 217]",,2,2.4914658118383097,0,,,2025-09-29T00:37:43.535326,1
heart,72,False,5,25.0,50.0,,proporcion,2d,1.0,0.8,0.0,,0.2,False,True,,0.0,"[136, 101, 227, 202, 105]",,"[227, 131, 215, 203, 41]",,2,2.5828793746042997,0,,,2025-09-29T00:37:43.535326,1
heart,73,False,5,25.0,50.0,,proporcion,2d,1.0,0.8,0.0,,0.2,False,True,,0.0,"[82, 153, 104, 95, 148]",,"[153, 69, 188, 224, 223]",,2,2.8149951928009935,0,,,2025-09-29T00:37:43.535326,1
heart,78,False,5,25.0,50.0,,proporcion,2d,1.0,1.0,0.0,,0.0,False,True,,0.0,"[166, 148, 63, 229, 54]",,"[11, 92, 33, 188, 224]",,2,2.157024553731747,0,,,2025-09-29T00:37:43.535326,1
heart,89,False,5,25.0,50.0,,proporcion,2d,1.0,0.8,0.0,,0.2,False,True,,0.0,"[49, 169, 31, 195, 96]",,"[169, 227, 235, 131, 23]",,2,2.283697382362373,0,,,2025-09-29T00:37:43.535326,1
heart,92,False,5,25.0,50.0,,proporcion,2d,1.0,1.0,0.0,,0.0,False,True,,0.0,"[187, 192, 229, 201, 54]",,"[224, 78, 33, 118, 125]",,2,1.6806991434324439,0,,,2025-09-29T00:37:43.535326,1
heart,113,False,5,25.0,50.0,,proporcion,2d,1.0,0.8,0.2,,0.2,False,True,,0.0,"[58, 65, 154, 61, 84]",,"[58, 35, 214, 23, 18]",,2,2.8836482265426695,0,,,2025-09-29T00:37:43.535326,1
heart,116,False,5,25.0,50.0,,proporcion,2d,1.0,0.8,0.0,,0.2,False,True,,0.0,"[53, 125, 54, 5, 17]",,"[125, 233, 69, 188, 217]",,2,2.4295772298000355,0,,,2025-09-29T00:37:43.535326,1
heart,118,True,5,25.0,50.0,,proporcion,2d,1.0,0.4,0.0,,0.6,True,True,,0.0,"[92, 33, 19, 163, 150]",,"[92, 33, 150, 125, 155]",,2,3.6847662129922183,3,0.7122486851695402,92.0,2025-09-29T00:37:43.535326,1
heart,124,False,5,25.0,50.0,,proporcion,2d,1.0,0.8,0.0,,0.2,False,True,,0.0,"[161, 204, 200, 167, 175]",,"[161, 153, 69, 113, 224]",,2,2.874147157815837,0,,,2025-09-29T00:37:43.535326,1
heart,125,False,5,25.0,50.0,,proporcion,2d,1.0,0.8,0.0,,0.2,False,True,,0.0,"[53, 54, 201, 116, 94]",,"[116, 150, 0, 69, 217]",,2,2.146876643920064,0,,,2025-09-29T00:37:43.535326,1
heart,131,True,5,25.0,50.0,,proporcion,2d,1.0,0.6,0.2,,0.4,True,True,,0.0,"[227, 226, 208, 93, 41]",,"[227, 41, 215, 220, 155]",,2,2.0741968993695794,7,0.4389569866079409,227.0,2025-09-29T00:37:43.535326,1
heart,150,False,5,25.0,50.0,,proporcion,2d,1.0,1.0,0.0,,0.0,False,True,,0.0,"[196, 86, 128, 28, 5]",,"[125, 188, 153, 224, 0]",,2,2.6481910218610163,0,,,2025-09-29T00:37:43.535326,1
heart,153,False,5,25.0,50.0,,proporcion,2d,1.0,1.0,0.0,,0.0,False,True,,0.0,"[115, 173, 104, 95, 231]",,"[29, 188, 73, 212, 217]",,2,2.4362566994114245,0,,,2025-09-29T00:37:43.535326,1
heart,155,False,5,25.0,50.0,,proporcion,2d,1.0,0.2,0.2,,0.8,False,True,,0.0,"[41, 55, 215, 131, 227]",,"[41, 215, 131, 227, 220]",,2,2.0540125307670234,0,,,2025-09-29T00:37:43.535326,1
heart,161,True,5,25.0,50.0,,proporcion,2d,1.0,0.6,0.0,,0.4,True,True,,0.0,"[200, 69, 124, 93, 66]",,"[69, 124, 217, 125, 215]",,2,2.673245789706424,4,0.3661796049705298,69.0,2025-09-29T00:37:43.535326,1
heart,169,True,5,25.0,50.0,,proporcion,2d,1.0,0.6,0.0,,0.4,True,True,,0.0,"[49, 189, 89, 31, 227]",,"[89, 227, 41, 23, 235]",,2,2.1584180165039384,7,0.3705137712668338,189.0,2025-09-29T00:37:43.535326,1
heart,188,False,5,25.0,50.0,,proporcion,2d,1.0,1.0,0.0,,0.0,False,True,,0.0,"[221, 231, 228, 5, 156]",,"[153, 224, 233, 78, 23]",,2,2.0350601520946374,0,,,2025-09-29T00:37:43.535326,1
